A_23_P342744,A_24_P246891,A_23_P24535,A_23_P75362,A_32_P76399,A_23_P102973,A_23_P133332,A_23_P257335,A_24_P192988,A_23_P151106,A_23_P120970,A_24_P810290,A_23_P131825,A_23_P206684,A_32_P32061,A_23_P79122,A_23_P368278,A_23_P13344,A_23_P401709,A_24_P67308,A_23_P430381,A_24_P297119,A_23_P320530,A_24_P649282,A_23_P27229,A_24_P766208,A_23_P147255,A_24_P380679,A_23_P256773,A_23_P75529,A_32_P230828,A_23_P104641,A_23_P101871,A_24_P63563,A_23_P436369,A_23_P325690,A_24_P216765,A_23_P359245,A_23_P57370,A_24_P7085,A_23_P119295,A_23_P123555,A_23_P304386,A_32_P49616,A_23_P65068,A_24_P12932,A_23_P251680,A_24_P91472,A_23_P168443,A_23_P71981,A_24_P386323,A_24_P327050,A_23_P27075,A_23_P77031,A_23_P104676,A_23_P163955,A_23_P50919,A_24_P310009,A_23_P131394,A_24_P690983,A_23_P41716,A_32_P215714,A_23_P254741,A_23_P98605,A_23_P90383,A_23_P31064,A_24_P303454,A_24_P271542,A_32_P155506,A_24_P257359,A_23_P150069,A_23_P388914,A_24_P116710,A_23_P1926,A_23_P635,A_23_P38887,A_23_P154605,A_23_P7744,A_23_P207387,A_23_P146908,A_23_P21485,A_23_P69431,A_23_P44794,A_23_P430181,A_23_P113184,A_24_P289029,A_23_P138881,A_23_P113623,A_23_P29318,A_23_P106822,A_23_P14886,A_23_P164421,A_23_P3562,A_23_P132248,A_24_P395042,A_23_P6456,A_23_P112548,A_23_P17354,A_23_P60324,A_23_P83976,SurvivalDays
LIX1L,NEU4,TTC12,IFITM10,EIF3L,DGCR14,MRPS27,KHDRBS3,CCDC89,PHB2,TTLL1,PPAPDC1A,TNNC2,WWP2,C2orf27A,USE1,FCHSD2,EEF1G,C20orf196,RPL19P12,LYSMD1,OLIG1,ZNF780A,LUZP2,MYO15A,RPL3,PCBP3,C7orf53,TSSC1,PKNOX2,GAS5,C11orf2,FBXO17,KIAA0141,FILIP1,ANKRD35,TOMM20,MET,CECR5,RPL29P2,ECSIT,CYHR1,HIGD2A,EEF1B2,EID3,MRPS16,COMT,ALKBH7,EPHB4,ERAL1,RABEPK,TRAPPC2L,GABARAP,PTPN21,SF3A1,PEMT,SERPINE2,USP43,SLC16A14,LOC96610,GNB2L1,RPL6,SOD3,UBXN1,RPL18A,MOXD1,TIAM2,C22orf32,UBE2E2,RPL15,ANKRD16,CCDC101,RAMP2,SDHAF2,PMF1,EIF3G,SULF2,SPATA9,GHDC,STX8,PID1,RPL4,RAB3C,ZBTB3,FTO,TBC1D5,ACTN3,MRPL45,SAMM50,NOB1,GNPTG,ZSWIM7,SLC7A6OS,ZMAT5,EIF3F,NOL12,HDHD3,GDAP1L1,UBAC1,CEP112,
Lix1 homolog (mouse)-like,sialidase 4,tetratricopeptide repeat domain 12,interferon induced transmembrane protein 10,"eukaryotic translation initiation factor 3, subunit L",DiGeorge syndrome critical region gene 14,mitochondrial ribosomal protein S27,"KH domain containing, RNA binding, signal transduction associated 3",coiled-coil domain containing 89,prohibitin 2,"tubulin tyrosine ligase-like family, member 1",phosphatidic acid phosphatase type 2 domain containing 1A,troponin C type 2 (fast),WW domain containing E3 ubiquitin protein ligase 2,chromosome 2 open reading frame 27A,unconventional SNARE in the ER 1 homolog (S. cerevisiae),FCH and double SH3 domains 2,eukaryotic translation elongation factor 1 gamma,chromosome 20 open reading frame 196,ribosomal protein L19 pseudogene 12,"LysM, putative peptidoglycan-binding, domain containing 1",oligodendrocyte transcription factor 1,zinc finger protein 780A,leucine zipper protein 2,myosin XVA,ribosomal protein L3,poly(rC) binding protein 3,chromosome 7 open reading frame 53,tumor suppressing subtransferable candidate 1,PBX/knotted 1 homeobox 2,growth arrest-specific 5 (non-protein coding),chromosome 11 open reading frame 2,F-box protein 17,KIAA0141,filamin A interacting protein 1,ankyrin repeat domain 35,translocase of outer mitochondrial membrane 20 homolog (yeast),met proto-oncogene (hepatocyte growth factor receptor),"cat eye syndrome chromosome region, candidate 5",ribosomal protein L29 pseudogene 2,ECSIT homolog (Drosophila),cysteine/histidine-rich 1,"HIG1 hypoxia inducible domain family, member 2A",eukaryotic translation elongation factor 1 beta 2,EP300 interacting inhibitor of differentiation 3,mitochondrial ribosomal protein S16,catechol-O-methyltransferase,"alkB, alkylation repair homolog 7 (E. coli)",EPH receptor B4,Era G-protein-like 1 (E. coli),Rab9 effector protein with kelch motifs,trafficking protein particle complex 2-like,GABA(A) receptor-associated protein,"protein tyrosine phosphatase, non-receptor type 21","splicing factor 3a, subunit 1, 120kDa",phosphatidylethanolamine N-methyltransferase,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2",ubiquitin specific peptidase 43,"solute carrier family 16, member 14 (monocarboxylic acid transporter 14)","BMS1 homolog, ribosome assembly protein (yeast) pseudogene","guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1",ribosomal protein L6,"superoxide dismutase 3, extracellular",UBX domain protein 1,ribosomal protein L18a,"monooxygenase, DBH-like 1",T-cell lymphoma invasion and metastasis 2,chromosome 22 open reading frame 32,ubiquitin-conjugating enzyme E2E 2,ribosomal protein L15,ankyrin repeat domain 16,coiled-coil domain containing 101,receptor (G protein-coupled) activity modifying protein 2,succinate dehydrogenase complex assembly factor 2,polyamine-modulated factor 1,"eukaryotic translation initiation factor 3, subunit G",sulfatase 2,spermatogenesis associated 9,GH3 domain containing,syntaxin 8,phosphotyrosine interaction domain containing 1,ribosomal protein L4,"RAB3C, member RAS oncogene family",zinc finger and BTB domain containing 3,fat mass and obesity associated,"TBC1 domain family, member 5","actinin, alpha 3",mitochondrial ribosomal protein L45,sorting and assembly machinery component 50 homolog (S. cerevisiae),NIN1/RPN12 binding protein 1 homolog (S. cerevisiae),"N-acetylglucosamine-1-phosphate transferase, gamma subunit","zinc finger, SWIM-type containing 7","solute carrier family 7, member 6 opposite strand","zinc finger, matrin-type 5","eukaryotic translation initiation factor 3, subunit F",nucleolar protein 12,haloacid dehalogenase-like hydrolase domain containing 3,ganglioside-induced differentiation-associated protein 1-like 1,UBA domain containing 1,centrosomal protein 112kDa,
-0.0999,-0.96104,0.28358,-0.31814,-0.26628,0.36883,0.35206,-0.030464,1.2677,0.2842,0.33428,-1.3774,-0.39923,-0.35152,-0.58922,0.88509,-0.39792,-0.13389,0.019343,-0.09544,-0.30895,-0.39623,0.040923,-0.019413,0.25453,-0.2292,-1.6805,-0.25983,-0.07909,-0.17432,-0.86087,-0.12948,2.2519,0.093668,-0.15533,0.85879,-0.15778,-1.2001,0.17944,0.24917,0.35386,0.2649,0.46931,-0.57592,0.43368,-0.13308,0.58839,0.0994,1.3321,0.58798,-0.32072,0.16845,-0.075378,1.0012,0.036353,0.59748,-0.51073,-0.041264,0.37278,0.060726,-0.000166,-0.28164,0.5783,-0.39544,0.48477,1.2345,-0.27501,-0.092758,-1.5172,0.0069513,-0.17896,0.30589,1.4456,0.3003,0.31835,0.77016,-0.98812,0.06062,0.4756,-0.23146,-0.43073,-0.28731,-2.686,-0.39031,0.044669,0.55394,0.93103,-0.10012,0.35764,0.09647,0.5293,0.26935,-0.27185,0.60675,0.1732,0.15672,-0.52653,-1.4636,-0.68442,1.3675,1024
1.0914,1.6402,-1.4203,-0.54017,-0.089449,1.1947,0.41906,-0.2315,-2.9429,0.78913,0.020672,-0.53757,0.33798,0.20517,1.3797,0.2527,0.72347,1.0564,0.59606,0.36873,0.79606,0.46853,-0.5272,-0.21445,-0.60199,0.088446,0.10635,0.38749,0.23847,-0.5567,1.0907,0.51149,-1.0179,-0.66063,-0.16462,-3.562,0.30205,-1.2247,1.1536,0.20103,0.25048,0.84438,-0.32265,0.37101,-1.9399,1.2005,0.3499,0.21645,0.63239,0.58373,0.53338,0.13592,0.91254,-0.31443,0.6865,0.7074,-0.68065,1.1199,-0.31526,-0.74571,0.42956,0.051414,-0.40891,0.69515,0.70523,0.12308,-2.0176,-0.25252,0.76665,0.32446,1.4947,1.3931,0.51131,0.98702,1.2302,0.013723,-0.54296,-1.0127,0.15828,0.50307,0.13316,0.85481,0.41148,0.83259,-0.23951,-0.68326,-0.55869,0.84348,0.30874,1.2048,-0.33532,-0.23286,0.10913,-0.389,0.58261,0.051917,-0.86859,0.66785,0.22564,-1.6362,878
-0.37438,1.7162,0.17951,0.75482,0.4971,-0.032995,-0.055672,0.18297,-0.71323,0.055413,-0.28514,0.18269,1.4787,0.8979,-0.41047,0.71555,0.39956,1.3424,0.20446,0.83722,0.46762,0.78595,-0.20188,0.22071,1.0686,0.87478,0.86073,-0.81047,0.34899,0.32644,1.7918,1.1872,-0.074995,-0.49475,0.065176,0.71212,0.6668,0.47288,0.030925,0.86201,0.80894,0.59581,0.28482,0.77556,0.093965,0.60598,0.6708,1.0254,-1.5024,0.097918,0.49578,0.5117,0.55881,-0.54793,0.35057,0.23775,-0.48093,0.24373,0.17731,0.0037155,0.49889,0.43168,0.25821,0.7057,1.3071,-0.76848,2.063,1.2825,-0.086072,0.91596,0.075888,0.023931,-1.0932,0.55089,-0.039975,0.54091,-0.71258,-0.54831,-0.32251,0.4946,0.60855,0.63514,0.27982,0.11583,0.531,-0.0018401,-0.56351,0.3723,0.054446,0.0086102,0.35889,0.70263,0.1669,0.31794,0.50596,0.3873,0.30912,1.3893,0.70343,-1.2041,356
-0.57938,-0.32843,0.099646,-0.61796,-1.4039,-0.91695,-0.88676,-0.74661,0.46897,-1.1261,-1.5219,-0.45909,-0.45393,-0.57379,-0.89123,-0.32535,-0.98198,-0.9676,-0.64296,-1.3656,-0.87687,-0.61164,0.75449,-4.3811,1.4051,-0.7771,0.10457,0.80205,-1.3419,-0.019046,-1.3826,-1.5807,1.1927,-1.203,0.73459,0.052181,-1.24,-1.0306,-1.2852,-1.0075,-0.8674,-0.76539,-0.74215,-1.2322,0.015261,-1.1528,-0.64469,-1.118,1.5337,-0.41142,-1.161,-0.87437,-1.3373,0.055879,-0.56681,-0.72688,-0.06127,-1.2897,0.92819,-0.47039,-0.69044,-1.1314,-0.22238,-1.5662,-0.83626,-0.23066,-1.1009,-1.6368,-2.539,-1.153,-0.55273,-0.7276,-0.37556,-0.95716,-0.87077,-0.2814,-0.57955,-0.076643,-0.80707,-0.93475,-1.2587,-1.2508,-0.86681,-0.20752,-0.55857,-1.4913,1.5928,-1.2614,-1.4035,-0.17025,-1.1668,-1.3973,-0.61226,-0.93902,-1.2346,-1.027,0.75165,-2.2126,-1.5859,0.71737,657
0.1093,0.96732,1.821,0.017729,-0.89329,-0.21804,0.13833,0.041288,3.2372,0.10812,0.011166,0.46458,0.12577,-0.30236,-0.36959,-0.23289,-0.1708,-0.98585,0.35021,-0.96589,-0.19152,-0.0034485,0.047375,1.5822,0.3201,-0.8976,-0.78604,-0.11262,0.2041,-0.37476,-0.50512,-0.98316,0.39203,-0.23687,0.28694,1.8221,-0.24961,0.82577,-0.51848,-0.208,-0.56516,0.92179,-0.37041,-0.47299,-0.13195,0.098074,-0.84915,-0.16326,-0.08026,0.37391,0.21318,-0.031941,-0.40995,0.7062,-0.49935,0.071801,-0.2816,1.7577,-0.12157,-0.40878,-0.31526,-0.25958,0.43642,-0.93494,-0.50856,1.6481,-2.0611,-0.43996,0.14694,-0.090723,-0.43343,0.075131,-0.53735,-0.34652,0.33211,-0.15497,0.7856,-0.53368,-0.55465,-0.03187,-0.17241,-0.80973,-0.3733,-0.7308,-0.049636,-0.1098,0.19502,-0.8298,-0.19196,-0.062874,-0.7422,-0.15524,-0.31318,0.085116,-0.20843,-0.15726,0.59302,-1.4354,-0.043688,1.2318,188
0.15583,-0.2542,0.97841,-0.4683,-0.29401,-0.52826,-0.4643,-0.65913,0.30117,-0.74472,-0.52139,0.6399,0.26082,0.50781,-1.5607,0.070181,0.15073,-0.46636,-0.43537,-0.09334,0.26117,0.49138,0.26859,-1.1207,0.50472,0.037371,0.16805,0.45743,-0.14614,-1.5703,0.11015,-0.10184,-0.40874,0.34059,0.060302,0.71956,0.094604,2.3949,-0.45001,-1.1939,-0.40312,0.76301,-0.81928,0.1318,0.98355,-0.047276,0.37763,0.20031,-0.69395,-0.68507,-0.69303,0.076237,0.022001,-0.40329,-0.28342,-0.43785,-0.76362,-1.2974,-1.1418,-0.57229,-0.49991,-0.19528,-0.21289,0.094486,-0.71638,0.93152,-0.93517,-0.12844,0.086458,-0.47805,-0.35469,-0.18984,-1.5097,-0.34306,0.23582,-0.053108,-1.5366,-0.097025,-0.58489,0.15464,-0.97582,0.14118,-1.7287,1.0188,-0.40492,-0.25202,-0.068302,-0.13063,-0.0045896,-0.34833,0.35339,0.43275,0.081632,-0.80349,-0.54772,0.61399,-0.16491,-1.7039,0.40321,-0.56148,588
0.68533,2.5606,-0.46707,1.2541,0.89503,0.99867,0.099057,0.077397,-2.1939,0.46933,0.44571,1.9904,-0.16431,1.0683,1.0496,1.3747,0.90586,1.6314,0.54637,1.1924,0.85554,0.54502,-1.1969,1.721,-2.025,0.90391,0.69329,-0.96848,0.66841,0.35864,1.6701,1.4402,-0.9524,0.36532,-0.085645,-3.3718,0.62593,-3.4105,1.3542,1.3568,1.5216,-3.0688,1.066,1.2942,-2.3538,1.7599,1.031,1.5222,-0.48914,0.75158,1.118,1.1558,1.2649,0.18524,0.73948,1.2104,0.22849,0.12944,0.72077,0.69235,0.85823,0.56614,-2.7755,1.1494,1.3991,-1.9658,-2.9216,1.5161,-0.15988,0.85467,0.71889,1.4513,0.0051231,1.0461,0.67224,1.2614,1.7521,0.63205,0.80464,0.89219,1.1904,-0.16948,1.6233,0.72608,0.61378,0.048204,-0.26442,1.0548,0.88036,0.50631,1.0404,0.83392,1.1115,0.748,1.1382,0.7928,-1.1482,2.0526,0.88808,-2.3456,1234
0.06743,-0.32205,-0.50816,-1.0086,-0.27673,0.11783,-0.17162,-0.067328,0.37097,-0.18307,-0.33141,-0.095718,-0.83665,-0.4062,0.60944,-0.25481,-0.067241,-0.24674,-0.16821,-0.34735,-0.30066,-0.2078,-0.014308,-4.7717,0.62079,-0.31491,-0.41211,0.032848,0.27385,-0.093512,-0.65597,-0.43006,0.66868,-0.41028,0.40068,-0.89795,-0.26957,-0.88086,0.39237,-0.20153,-0.31209,-0.40609,-0.18589,-0.28337,0.68682,-0.69476,-0.29236,-0.49914,0.048026,0.053067,-0.26572,-0.027322,-0.70564,0.14333,-0.30943,0.41837,0.15396,-1.2392,0.33047,-0.040148,0.05383,-0.43086,-1.7022,-0.29315,-0.55729,-1.4963,0.53387,0.42007,-0.10904,-0.22219,0.000925,0.26783,0.049399,0.26542,0.11397,-0.24969,1.0652,-0.66051,-0.27449,-0.11664,0.7452,-0.2986,1.0648,0.020416,-0.26517,-0.50107,0.70212,-0.065073,0.20566,-0.16168,-0.57159,-0.65281,-0.13994,0.0035443,-0.24084,0.59415,0.40511,0.34774,-0.36804,-0.31478,385
